beopjeongdong_code,sgis_code,sido,sigungu_name,dong_name,match_type,confidence,pip_hit_pct,note
41500108,31210540,41,이천시,갈산동,pip,high,100.0,-> 경기도 이천시 증포동 | 분산={'31210540': 100.0}
41500110,31210540,41,이천시,송정동,pip,high,100.0,-> 경기도 이천시 증포동 | 분산={'31210540': 100.0}
41500111,31210530,41,이천시,사음동,pip,high,99.4,"-> 경기도 이천시 관고동 | 분산={'31210530': 99.4, '31210310': 0.3, '31210540': 0.3}"
41500112,31210520,41,이천시,단월동,pip,high,99.9,"-> 경기도 이천시 중리동 | 분산={'31210520': 99.9, '31210330': 0.1}"
41500113,31210520,41,이천시,대포동,pip,high,99.8,"-> 경기도 이천시 중리동 | 분산={'31210520': 99.8, '31210350': 0.1, '31210360': 0.1}"
41500114,31210520,41,이천시,고담동,pip,high,99.6,"-> 경기도 이천시 중리동 | 분산={'31210520': 99.6, '31210120': 0.4}"
41500115,31210520,41,이천시,장록동,pip,high,99.7,"-> 경기도 이천시 중리동 | 분산={'31210520': 99.7, '31210330': 0.2, '31210120': 0.2}"
41570101,31230610,41,김포시,북변동,pip,high,97.0,"-> 경기도 김포시 김포본동 | 분산={'31230610': 97.0, '31230530': 3.0}"
41570102,31230610,41,김포시,걸포동,pip,high,99.5,"-> 경기도 김포시 김포본동 | 분산={'31230610': 99.5, '31230600': 0.5}"
41570105,31230610,41,김포시,감정동,pip,low,57.0,"-> 경기도 김포시 김포본동 | 분산={'31230610': 57.0, '31230560': 43.0}"
41590117,31240530,41,화성시,병점동,pip,high,95.7,"-> 경기도 화성시 병점1동 | 분산={'31240530': 95.7, '_no_match': 4.3}"
41590118,31240520,41,화성시,능동,pip,low,65.3,"-> 경기도 화성시 진안동 | 분산={'31240530': 4.2, '31240520': 65.3, '31240620': 30.5}"
41590126,31240570,41,화성시,안녕동,pip,high,93.8,"-> 경기도 화성시 화산동 | 분산={'31240570': 93.8, '_no_match': 6.2}"
41590127,,,화성시,반송동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41590129,31240700,41,화성시,오산동,pip,high,100.0,-> 경기도 화성시 동탄6동 | 분산={'31240700': 100.0}
41590130,31240640,41,화성시,청계동,pip,high,100.0,-> 경기도 화성시 동탄4동 | 분산={'31240640': 100.0}
44131102,34011520,44,천안시 동남구,성황동,pip,high,100.0,-> 충청남도 천안시 동남구 문성동 | 분산={'34011520': 100.0}
44131104,34011510,44,천안시 동남구,사직동,pip,high,100.0,-> 충청남도 천안시 동남구 중앙동 | 분산={'34011510': 100.0}
44131105,34011510,44,천안시 동남구,영성동,pip,high,100.0,-> 충청남도 천안시 동남구 중앙동 | 분산={'34011510': 100.0}
44131107,34011530,44,천안시 동남구,원성동,pip,medium,84.1,"-> 충청남도 천안시 동남구 원성1동 | 분산={'34011530': 84.1, '34011540': 12.3, '34011590': 2.5, '34011520': 0.7, '34011580': 0.4}"
44131108,34011580,44,천안시 동남구,구성동,pip,high,100.0,-> 충청남도 천안시 동남구 청룡동 | 분산={'34011580': 100.0}
44131109,34011580,44,천안시 동남구,청수동,pip,high,90.4,"-> 충청남도 천안시 동남구 청룡동 | 분산={'34011510': 9.6, '34011580': 90.4}"
44131110,34011580,44,천안시 동남구,삼룡동,pip,high,100.0,-> 충청남도 천안시 동남구 청룡동 | 분산={'34011580': 100.0}
44131111,34011580,44,천안시 동남구,청당동,pip,high,100.0,-> 충청남도 천안시 동남구 청룡동 | 분산={'34011580': 100.0}
44131112,34011530,44,천안시 동남구,유량동,pip,high,100.0,-> 충청남도 천안시 동남구 원성1동 | 분산={'34011530': 100.0}
44131114,34011560,44,천안시 동남구,다가동,pip,high,100.0,-> 충청남도 천안시 동남구 일봉동 | 분산={'34011560': 100.0}
44131115,34011560,44,천안시 동남구,용곡동,pip,medium,79.8,"-> 충청남도 천안시 동남구 일봉동 | 분산={'34011570': 20.2, '34011560': 79.8}"
44131118,34011590,44,천안시 동남구,신부동,pip,high,98.4,"-> 충청남도 천안시 동남구 신안동 | 분산={'34011590': 98.4, '34011520': 1.1, '_no_match': 0.5}"
44131119,34011590,44,천안시 동남구,안서동,pip,high,100.0,-> 충청남도 천안시 동남구 신안동 | 분산={'34011590': 100.0}
44131120,34011580,44,천안시 동남구,구룡동,pip,high,99.7,"-> 충청남도 천안시 동남구 청룡동 | 분산={'34011580': 99.7, '34011570': 0.3}"
44133101,34012510,44,천안시 서북구,와촌동,pip,high,100.0,-> 충청남도 천안시 서북구 성정1동 | 분산={'34012510': 100.0}
44133102,34012520,44,천안시 서북구,성정동,pip,low,51.4,"-> 충청남도 천안시 서북구 성정2동 | 분산={'34012510': 48.3, '34012520': 51.4, '_no_match': 0.3}"
44133104,34012600,44,천안시 서북구,두정동,pip,high,95.8,"-> 충청남도 천안시 서북구 부성1동 | 분산={'34012600': 95.8, '34012610': 4.2}"
44133105,34012610,44,천안시 서북구,성성동,pip,high,100.0,-> 충청남도 천안시 서북구 부성2동 | 분산={'34012610': 100.0}
44133106,34012610,44,천안시 서북구,차암동,pip,high,100.0,-> 충청남도 천안시 서북구 부성2동 | 분산={'34012610': 100.0}
44133107,34012540,44,천안시 서북구,쌍용동,pip,low,60.5,"-> 충청남도 천안시 서북구 쌍용2동 | 분산={'34012540': 60.5, '34012550': 16.7, '34012620': 1.0, '34012530': 21.0, '_no_match': 1.0}"
44133108,34012620,44,천안시 서북구,불당동,pip,high,92.5,"-> 충청남도 천안시 서북구 불당1동 | 분산={'34012620': 92.5, '_no_match': 1.1, '34012630': 6.5}"
44133109,34012600,44,천안시 서북구,업성동,pip,high,99.0,"-> 충청남도 천안시 서북구 부성1동 | 분산={'34012600': 99.0, '34012130': 0.9, '34012610': 0.1}"
44133110,34012600,44,천안시 서북구,신당동,pip,high,100.0,-> 충청남도 천안시 서북구 부성1동 | 분산={'34012600': 100.0}
44133111,34012600,44,천안시 서북구,부대동,pip,high,99.2,"-> 충청남도 천안시 서북구 부성1동 | 분산={'34012600': 99.2, '34012610': 0.8}"
44180101,34030520,44,보령시,대천동,pip,medium,85.0,"-> 충청남도 보령시 대천2동 | 분산={'34030510': 14.3, '34030520': 85.0, '34030320': 0.7}"
44180102,34030510,44,보령시,죽정동,pip,high,100.0,-> 충청남도 보령시 대천1동 | 분산={'34030510': 100.0}
44180103,34030530,44,보령시,화산동,pip,high,100.0,-> 충청남도 보령시 대천3동 | 분산={'34030530': 100.0}
44180104,34030530,44,보령시,동대동,pip,high,98.6,"-> 충청남도 보령시 대천3동 | 분산={'34030530': 98.6, '34030540': 1.4}"
44180105,34030540,44,보령시,명천동,pip,high,99.5,"-> 충청남도 보령시 대천4동 | 분산={'34030540': 99.5, '34030530': 0.1, '34030370': 0.4}"
44180106,34030540,44,보령시,궁촌동,pip,high,100.0,-> 충청남도 보령시 대천4동 | 분산={'34030540': 100.0}
44180107,34030560,44,보령시,내항동,pip,high,99.3,"-> 충청남도 보령시 대천5동 | 분산={'34030560': 99.3, '_no_match': 0.1, '34030540': 0.6}"
44180108,34030560,44,보령시,남곡동,pip,high,100.0,-> 충청남도 보령시 대천5동 | 분산={'34030560': 100.0}
