41390132,정왕동,41390,시흥시,843608.3,495576.3,True,"2666:10,2666:11,2666:12,2666:22,D325:03,D477:04,D477:14,D477:15,E430:01,E430:02,E430:03,E430:04,E430:07,E430:08,E430:09,E430:10,E430:13,E430:14,E430:15,E430:17,E430:18,E430:20,E430:22,E430:23,E430:24,E430:25,E430:26,E430:27,E478:01,E478:10,E478:11,E478:12,E478:15,E478:16,E478:17,E478:18,E478:20,E478:21,E478:24,E478:25,S319:01,S319:02,S319:05,S319:06,S319:07,S319:08,S319:09,S319:12,S319:14,S319:15,S319:16,S319:18,S319:20,S319:21,S319:22,S319:25,S331:10,S331:11,S340:01,S340:02,S340:03,S340:04,S340:05,S340:06,S340:08,S340:09,S340:10,S340:12,S340:13,S340:14,S340:15,S340:24,S340:25,S340:26,S340:27,S340:28,S340:29,S340:30,S340:31,S340:32,S340:33",equal_split
41390133,죽율동,41390,시흥시,14310.9,14310.9,False,"E478:12,E478:18,E478:20,E478:21",equal_split
41461104,남동,41461,용인시 처인구,79856.2,79856.2,False,"2050:01,2050:04,2050:09,2050:10,2050:13,2050:14,2050:20,2050:21,2050:23,D502:03",equal_split
41461106,고림동,41461,용인시 처인구,47673.2,47673.2,False,"2050:02,2050:03,2050:05,2050:07,2050:08,2050:09,2050:19,2050:25",equal_split
41461107,마평동,41461,용인시 처인구,56125.7,56125.7,False,"2050:02,2050:03,2050:05,2050:06,2050:08,2050:12,2050:14,2050:16,2050:17,2050:18,2050:19,2050:20,2050:23,2050:25",equal_split
41461108,운학동,41461,용인시 처인구,11030.2,11030.2,False,"2050:01,2050:12,2050:14,2050:20,2050:24",equal_split
41461109,호동,41461,용인시 처인구,5695.9,5695.9,False,"2050:01,2050:20,2050:24",equal_split
41461110,해곡동,41461,용인시 처인구,7465.9,7465.9,False,"2050:01,2050:14,2050:20,2050:24",equal_split
41461340,원삼면,41461,용인시 처인구,26473.1,25149.9,True,"2050:01,2050:06,2050:14,2050:16,2050:17,2050:18,2050:20,2050:24,S349:10,S349:11,S349:18,S349:20",equal_split
41461350,백암면,41461,용인시 처인구,15732.4,12618.7,True,"2050:01,2050:14,2050:17,2050:20,S349:04,S349:07,S349:08,S349:10,S349:16,S349:18,S349:20",equal_split
